%1$d already matched	已匹配 %1$d 项
%1$d areas were checked and everything they need is here.	已检查 %1$d 个区域，所需内容均已就绪.
%1$d fields overridden	已覆盖 %1$d 个字段
%1$d fields will be overridden when requested	请求时将覆盖 %1$d 个字段
%1$d gates selected	已选择 %1$d 个功能开关
%1$d minutes left	剩余 %1$d 分钟
%1$d rejected	已拒绝 %1$d 项
%1$d results	%1$d 个结果
%1$d results so far	目前有 %1$d 个结果
%1$d results so far, and more not counted	目前有 %1$d 个结果，另有更多未计数
%1$d results, filtered to %2$s	%1$d 个结果，已筛选为 %2$s
%1$d setting was not in that file and was left as it is	有 %1$d 项设置不在该文件中，已保持原样
%1$d settings were not in that file and were left as they are	有 %1$d 项设置不在该文件中，已保持原样
%1$d unavailable	%1$d 项不可用
%1$s (%2$s)	%1$s（%2$s）
%1$s (TikTok value)	%1$s（TikTok 值）
%1$s (custom, unverified)	%1$s（自定义，未验证）
%1$s (override returned)	%1$s（已返回覆盖值）
%1$s (will be returned when requested)	%1$s（请求时将返回）
%1$s / current cache only	%1$s / 仅当前缓存
%1$s / generated registry	%1$s / 已生成注册表
%1$s / generated registry and current cache	%1$s / 已生成注册表和当前缓存
%1$s / local catalog	%1$s / 本地目录
%1$s and above	%1$s 及以上
%1$s appears more than once in this file.	%1$s 在此文件中出现了多次.
%1$s changed	%1$s 已更改
%1$s day	%1$s 天
%1$s days	%1$s 天
%1$s destinations must start with %2$s	%1$s 的目标位置必须以 %2$s 开头
%1$s dp	%1$s dp
%1$s has an invalid value. %2$s	%1$s 的值无效。%2$s
%1$s has type %2$s, but the file says %3$s.	%1$s 的类型是 %2$s，但文件中写的是 %3$s.
%1$s hid everything TikTok sent, %2$d times in a row. Turn it off if that's not what you wanted.	%1$s 已连续 %2$d 次隐藏 TikTok 发来的全部内容。如果这不是你想要的效果，请将其关闭.
%1$s is a kind of value the Lab cannot override.	%1$s 属于实验室无法覆盖的值类型.
%1$s is already hidden	%1$s 已被隐藏
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s 不是国家代码，因此不会有视频匹配。请使用两个字母，例如 GB、IE 或 US.
%1$s is not in this Lab catalog.	%1$s 不在此实验室目录中.
%1$s isn't installed or doesn't take links	未安装 %1$s，或它不接受链接
%1$s left	剩余 %1$s
%1$s millisecond	%1$s 毫秒
%1$s milliseconds	%1$s 毫秒
%1$s min left	剩余 %1$s 分钟
%1$s minute	%1$s 分钟
%1$s minutes	%1$s 分钟
%1$s point	%1$s 点
%1$s points	%1$s 点
%1$s s	%1$s 秒
%1$s second	%1$s 秒
%1$s seconds	%1$s 秒
%1$s time	%1$s 次
%1$s times	%1$s 次
%1$s to %2$s	%1$s 到 %2$s
%1$s video	%1$s 个视频
%1$s videos	%1$s 个视频
%1$s videos left	剩余 %1$s 个视频
%1$s view per comment	每条评论 %1$s 次播放
%1$s view per like	每个赞 %1$s 次播放
%1$s views per comment	每条评论 %1$s 次播放
%1$s views per like	每个赞 %1$s 次播放
%1$s was rejected. %2$s	%1$s 被拒绝。%2$s
%1$s, %2$s or %3$s	%1$s、%2$s 或 %3$s
%1$s, %2$s, %3$s or %4$s	%1$s、%2$s、%3$s 或 %4$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s、%2$s、%3$s、%4$s、%5$s
%1$s, selected	%1$s，已选择
%1$s. %2$s	%1$s。%2$s
%1$s: %2$d found, %3$d missing	%1$s：找到 %2$d 项，缺少 %3$d 项
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s：找到 %2$d 项，缺少 %3$d 项，另有更多未继续计数
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s：找到 %2$d 项，缺少 %3$d 项，另有更多未继续计数。首个缺失项：%4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s：找到 %2$d 项，缺少 %3$d 项。首个缺失项：%4$s
%1$s: %2$s	%1$s：%2$s
1 field overridden	已覆盖 1 个字段
For com.deniscerri.ytdl only. Ask YTDLnis for audio or video when the save button hands it a link.	仅适用于 com.deniscerri.ytdl。保存按钮将链接交给 YTDLnis 时，可指定下载音频或视频.
For com.deniscerri.ytdl only. Hide its download card and start the handoff in the background.	仅适用于 com.deniscerri.ytdl。隐藏其下载卡片，并在后台开始传递任务.
Forced %1$d gates of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	已强制设置 %2$d 个功能开关中的 %1$d 个。其余项目不是布尔值。重启 TikTok 后生效.
Forced %1$d gates. Restart TikTok to apply this.	已强制设置 %1$d 个功能开关。重启 TikTok 后生效.
Forced 1 gate of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	已强制设置 %2$d 个功能开关中的 1 个。其余项目不是布尔值。重启 TikTok 后生效.
Forced 1 gate. Restart TikTok to apply this.	已强制设置 1 个功能开关。重启 TikTok 后生效.
Forced result	强制结果
Forget seen videos after	在以下时间后忘记已看视频
Forget the %1$s seen videos.	清除这 %1$s 个已看视频的记录.
Forget what has been counted today and end any hold. The budgets themselves are left alone.	清除今天已经统计的使用量并结束任何暂停状态。每日限额本身不会改变.
Friends	好友
From the next start TikTok runs as if it were not patched, so you can tell whether a problem comes from Hushfeed. Your settings stay as they are.	从下次启动起，TikTok 会像未打补丁一样运行，以便判断问题是否来自 Hushfeed。你的设置会保持不变.
Full comment sort options	完整评论排序选项
Full license	完整许可证
Full report saved to %1$s	完整报告已保存到 %1$s
GIF	GIF
Gate data unavailable	功能开关数据不可用
Gate details	功能开关详情
Generated defaults	生成的默认值
Gestures	手势
Ghost mode	隐身模式
Hand-off	交接
Handle or id	用户名或 ID
Hidden %1$s on this phone	已在本机隐藏 %1$s
Hidden commenters	已隐藏的评论者
Hidden: %1$s	已隐藏：%1$s
Hide	隐藏
Hide AI-generated videos	隐藏 AI 生成的视频
Hide CAPTCHA popups	隐藏 CAPTCHA 弹窗
Hide LIVE replays	隐藏 LIVE 回放
Hide LIVE videos	隐藏 LIVE 视频
Hide LIVE videos from the feed.	从信息流中隐藏 LIVE 视频.
Hide Search this image prompts	隐藏“搜索此图片”提示
Hide Series	隐藏 Series
Hide TikTok Shop	隐藏 TikTok Shop
Hide TikTok Shop in search	在搜索中隐藏 TikTok Shop
Hide TikTok Shop posts from the feed.	从信息流中隐藏 TikTok Shop 帖子.
Hide TikTok's "Search: ..." banner above the comment count. This doesn't hide the comments or Hushfeed's comment-search box.	隐藏评论数量上方 TikTok 的“搜索：...”横幅。不会隐藏评论，也不会隐藏 Hushfeed 的评论搜索框.
Hide TikTok's Auto scroll button	隐藏 TikTok 的自动滚动按钮
Hide TikTok's short drama episodes and the cards that promote them.	隐藏 TikTok 短剧剧集以及推广短剧的卡片.
Hide activity	隐藏活动
Hide activity status	隐藏活动状态
Hide ads, Shop posts, LIVE videos and replays, promotional music, and paid partnerships.	隐藏广告、Shop 帖子、LIVE 视频及回放、推广音乐和付费合作内容.
Hide archive	隐藏归档
Hide bottom tabs TikTok adds later unless you allow them.	隐藏 TikTok 后续新增的底部标签，除非你明确允许.
Hide buttons in the right column	隐藏右侧栏按钮
Hide comment polls	隐藏评论投票
Hide comment popup ads	隐藏评论区弹出广告
Hide comment typing suggestions	隐藏评论输入建议
Hide comments made of an image or a sticker instead of words.	隐藏只包含图片或贴纸、没有文字的评论.
Hide comments that contain any of the words below, or that come from the accounts below.	隐藏包含下方任意关键词的评论，或来自下方账号的评论.
Hide controls after each video starts. Tap to restore them.	每个视频开始播放后隐藏控件。点按屏幕可恢复.
Hide conversations	隐藏会话
Hide every direct message conversation. Leaves the Inbox empty apart from whatever else is still turned on.	隐藏所有私信会话。除仍启用的其他收件箱项目外，收件箱会保持为空.
Hide feed videos with place badges, even when they aren't paid ads. To keep the video and hide only its badge, use Hide location labels in Feed screen.	隐藏带地点徽标的信息流视频，即使它们不是付费广告。若只想隐藏徽标并保留视频，请在“信息流界面”中启用“隐藏地点标签”.
Hide floating promotion badges, coins, and timer banners on the feed.	隐藏信息流中的浮动推广徽标、金币和计时横幅.
Hide floating promotions	隐藏浮动推广
Hide inserted cards	隐藏插入卡片
Hide location labels	隐藏地点标签
Hide message requests	隐藏消息请求
Hide message streaks	隐藏聊天连续互动
Hide mini dramas	隐藏短剧
Hide new follower notifications	隐藏新关注者通知
Hide new followers	隐藏新关注者
Hide paid partnerships	隐藏付费合作内容
Hide people and options by name	按名称隐藏联系人和选项
Hide photo posts	隐藏图文帖子
Hide photo posts from the feed.	从信息流中隐藏图文帖子.
Hide picture comments	隐藏图片评论
Hide place badges on videos, including cards with multiple places. Videos and your location permissions stay unchanged.	隐藏视频上的地点徽标，包括含多个地点的卡片。视频本身及你的定位权限不会改变.
Hide playlist videos	隐藏播放列表视频
Hide promotional music	隐藏推广音乐
Hide recommended searches before you type on TikTok's search page. Your search history stays. This doesn't hide suggestions above comments.	在 TikTok 搜索页输入前隐藏推荐搜索。搜索历史仍会保留。此选项不会隐藏评论上方的搜索建议.
Hide recorded LIVE broadcasts from the feed.	从信息流中隐藏已录制的 LIVE 回放.
Hide rows by title	按标题隐藏项目
Hide search rewards	隐藏搜索奖励
Hide search suggestions above comments	隐藏评论上方的搜索建议
Hide share actions	隐藏分享操作
Hide sharing apps	隐藏分享应用
Hide stories	隐藏故事
Hide stories from the feed.	从信息流中隐藏故事.
Hide stories tray	隐藏故事栏
Hide suggested accounts	隐藏推荐账号
Hide suggestions on the search page	隐藏搜索页建议
Hide surveys	隐藏问卷
Hide tabs TikTok adds later unless you allow them.	隐藏 TikTok 后续新增的信息流标签，除非你明确允许.
Hide the "Search this image" prompt shown over videos. The feed search button and suggestions above comments are separate settings.	隐藏视频上方的“搜索此图片”提示。信息流搜索按钮和评论上方建议属于其他独立设置.
Hide the CAPTCHA dialogs raised while you browse or watch LIVE. Login, account verification and any CAPTCHA raised over a follow, like, comment or repost stay visible.	隐藏浏览内容或观看 LIVE 时出现的 CAPTCHA 对话框。登录、账号验证，以及关注、点赞、评论或转发时触发的 CAPTCHA 仍会显示.
Hide the Full screen button	隐藏全屏按钮
Hide the Full screen button over videos. Playback and automatic rotation keep working as before.	隐藏视频上的全屏按钮。播放和自动旋转仍照常工作.
Hide the Inbox search button	隐藏收件箱搜索按钮
Hide the LIVE button	隐藏 LIVE 按钮
Hide the LIVE button in the top left corner of the feed.	隐藏信息流左上角的 LIVE 按钮.
Hide the Products block and product cards in search results.	隐藏搜索结果中的“商品”区域和商品卡片.
Hide the Report button on videos	隐藏视频上的举报按钮
Hide the Send to row	隐藏“发送给”一栏
Hide the Share via row.	隐藏“通过...分享”一栏.
Hide the Tako AI bubble above the profile button, the Ask bar under videos, the Ask Tako button on the search page, the Ask Tako tab on search results and the Tako bar above comments.	隐藏个人资料按钮上方的 Tako AI 气泡、视频下方的 Ask 栏、搜索页的 Ask Tako 按钮、搜索结果中的 Ask Tako 标签，以及评论上方的 Tako 栏.
Hide the Tako bubble	隐藏 Tako 气泡
Hide the Tako chat	隐藏 Tako 聊天
Hide the actions row of the share sheet.	隐藏分享面板中的操作栏.
Hide the add people icon	隐藏添加联系人图标
Hide the caption	隐藏视频文案
Hide the description under the creator's name on the feed.	隐藏信息流中创作者名称下方的描述文字.
Hide the event badge	隐藏活动徽标
Hide the flag button TikTok puts above the creator's picture in some regions. You can still report a video from the share menu.	隐藏部分地区中 TikTok 放在创作者头像上方的旗帜举报按钮。你仍可通过分享菜单举报视频.
Hide the floating promotional badge over the feed.	隐藏信息流上方的浮动推广徽标.
Hide the follow button on the feed	隐藏信息流中的关注按钮
Hide the friend recommendation card and the other cards TikTok slots between videos.	隐藏好友推荐卡片以及 TikTok 插入在视频之间的其他卡片.
Hide the launcher shortcuts	隐藏启动器快捷方式
Hide the magnifying glass at the top of Inbox. Search on the feed and in comments is unchanged.	隐藏收件箱顶部的放大镜。信息流和评论中的搜索不受影响.
Hide the magnifying glass at the top right of the feed. Search in Inbox and suggestions above comments stay unchanged.	隐藏信息流右上角的放大镜。收件箱搜索和评论上方建议不受影响.
Hide the music line	隐藏音乐信息行
Hide the notification saying somebody new followed you before it reaches the drawer. Every other notification is left alone, and the follower still appears in the Inbox.	在新关注者通知进入通知栏前将其隐藏。其他通知不受影响，新关注者仍会出现在收件箱中.
Hide the playlist bar	隐藏播放列表栏
Hide the playlist bar along the bottom of videos that belong to a series.	隐藏系列视频底部的播放列表栏.
Hide the plus button under the creator's picture in the right column. Ticking Avatar and follow button above hides the picture with it.	隐藏右侧栏中创作者头像下方的加号按钮。若同时勾选上方“头像和关注按钮”，头像也会一起隐藏.
Hide the points banner under the search box and the coin counter floating over search results, which TikTok shows in some regions. Searching works as before.	隐藏部分地区中搜索框下方的积分横幅，以及搜索结果上方浮动的金币计数。搜索功能本身不受影响.
Hide the purple rewards button beside Add friends on your profile.	隐藏个人资料页“添加好友”旁边的紫色奖励按钮.
Hide the question cards TikTok slides over a video near its end.	隐藏 TikTok 在视频接近结束时滑入显示的问题卡片.
Hide the quick emoji row and automatic sticker suggestions that appear while you type. The emoji and sticker buttons still work.	隐藏输入评论时出现的快捷表情栏和自动贴纸建议。表情与贴纸按钮仍可正常使用.
Hide the red counts and dots on every bottom tab, Inbox and Profile included. The inbox itself still shows what came in.	隐藏所有底部标签上的红色计数和红点，包括收件箱和个人资料。收件箱内部仍会显示收到的内容.
Hide the rewards shortcut	隐藏奖励快捷入口
Hide the right column	隐藏右侧栏
Hide the row of friends at the top of the share sheet.	隐藏分享面板顶部的好友一栏.
Hide the save button in the right column. Ticking Save in the list above hides it too.	隐藏右侧栏的保存按钮。在上方列表勾选“保存”也会隐藏它.
Hide the save button on the feed	隐藏信息流中的保存按钮
Hide the search bar below videos	隐藏视频下方的搜索栏
Hide the search button on the feed	隐藏信息流中的搜索按钮
Hide the share prompt after a like	隐藏点赞后的分享提示
Hide the spinning music cover and the track name beside the caption.	隐藏旋转的音乐封面以及文案旁的曲目名称.
Hide the status bar	隐藏状态栏
Hide the streak button in a chat and the reminder message that goes with it.	隐藏聊天中的连续互动按钮及其对应提醒消息.
Hide the suggested-search strip above the bottom tabs and let video details and side controls use its space. The top search button and comments stay unchanged.	隐藏底部标签上方的推荐搜索条，让视频详情和侧边控件使用这块空间。顶部搜索按钮和评论不受影响.
Hide the unread badges on the bottom tabs	隐藏底部标签上的未读徽标
Hide the whole column on the right, from the avatar down to the music disc.	隐藏右侧整列控件，从头像一直到音乐唱片.
Hide this creator on this phone	在本机隐藏此创作者
Hide verified accounts	隐藏认证账号
Hide video actions	隐藏视频操作
Hide videos carrying TikTok's AI-generated label.	隐藏带有 TikTok“AI 生成”标签的视频.
Hide videos marked as paid partnership or branded content.	隐藏标记为付费合作或品牌内容的视频.
Hide videos marked as using promotional music.	隐藏标记为使用推广音乐的视频.
Hide videos posted as part of a playlist.	隐藏作为播放列表一部分发布的视频.
Hide videos posted by verified accounts.	隐藏认证账号发布的视频.
Hide videos that belong to a paid Series.	隐藏属于付费 Series 的视频.
Hide videos that use a sound blocked with the player's sound button, or named below.	隐藏使用已通过播放器声音按钮屏蔽、或名称在下方列表中的声音的视频.
Hide videos with a lot of views and few comments. Works the same way as views per like. Zero turns it off.	隐藏播放量高但评论少的视频。规则与“每个赞对应播放量”相同。设为 0 可关闭.
Hide videos with a lot of views and few likes. Lower numbers are stricter, zero turns the rule off, and one video is kept back if everything the feed just sent would go.	隐藏播放量高但点赞少的视频。数值越低越严格，设为 0 可关闭。如果规则会隐藏 TikTok 本次发来的全部视频，则会保留 1 个.
Hide videos with blocked sounds	隐藏使用已屏蔽声音的视频
Hide videos you have already seen	隐藏你已经看过的视频
Hide voting cards and poll results above the comments, including polls that have ended.	隐藏评论上方的投票卡片和投票结果，包括已结束的投票.
Hiding	正在隐藏
Highest	最高
Historical	历史
Historical values	历史值
Hold a gate to choose several	长按功能开关可多选
Hold the feed after the budget	达到限额后暂停信息流
Home	首页
Hook status	Hook 状态
How far each edge press moves the video.	每次按下边缘时视频跳转的距离.
Hushfeed cannot read the creator pattern %1$s	Hushfeed 无法解析创作者匹配规则 %1$s
Hushfeed hid a TikTok CAPTCHA. Turn off Hide CAPTCHA popups if something stops working.	Hushfeed 已隐藏一个 TikTok CAPTCHA。如果有功能停止工作，请关闭“隐藏 CAPTCHA 弹窗”.
Hushfeed is active	Hushfeed 已启用
Hushfeed is paused	Hushfeed 已暂停
Hushfeed turns back on when TikTok restarts.	TikTok 重启后 Hushfeed 会重新启用.
Ignore the creator's choice so the Duet and Stitch entries appear. Everything else the app checks still applies, and whether the upload is accepted is the server's decision.	忽略创作者的选择，让“合拍”和“拼接”入口显示出来。应用中的其他检查仍然有效，最终是否允许上传由服务器决定.
Import finished	导入完成
Import loaded values	导入已加载值
Imported %1$d values	已导入 %1$d 个值
Imported %1$d values. Undo last Lab change is in the menu.	已导入 %1$d 个值。可在菜单中使用“撤销上次实验室更改”.
Inbox	收件箱
Include diagnostic events	包含诊断事件
Included diagnostics	已包含的诊断信息
Includes all diagnostic events.	包含所有诊断事件.
Includes these events: %1$s	包含这些事件：%1$s
Inserted cards	插入卡片
Keep a local record of what you have watched and hide those videos when the feed sends them again.	在本地记录你看过的视频，当信息流再次推送这些视频时将其隐藏.
Keep captions in clear display	清屏时保留字幕
Keep going	继续
Keep long press from quick sharing	阻止长按触发快捷分享
Keep long press from reposting	阻止长按触发转发
Keep the Favorites tab	保留收藏标签
Keep the clock and status icons off the screen while TikTok is open. Swipe down from the top to peek at them.	TikTok 打开时隐藏时钟和状态图标。从屏幕顶部下滑可临时查看.
Keep the screen's refresh rate	保持屏幕刷新率
Keep the speed you chose for the next video. Off, each new video starts at 1x and a manual choice lasts for that video only.	将你选择的播放速度沿用到下一个视频。关闭后，每个新视频都从 1x 开始，手动选择的速度仅对当前视频有效.
Keep this string to %1$s characters or fewer.	此字符串最多可包含 %1$s 个字符.
Keep this structured value to %1$s KB or less.	此结构化值必须不超过 %1$s KB.
Keep websites outside TikTok from using its connection back into the app. TikTok pages such as Activity center, Watch history, shop checkout and CAPTCHA keep working.	阻止 TikTok 以外的网站通过深度链接重新调用应用。TikTok 自己的“活动中心”“观看历史”“商城结算”和 CAPTCHA 等页面仍可正常工作.
Kept to %1$s, the nearest value this row allows	已调整为此项允许的最接近值 %1$s
Kinds of post	帖子类型
LIVE	LIVE
LIVE replays	LIVE 回放
LIVE settings	LIVE 设置
LIVE share actions	LIVE 分享操作
LIVE videos	LIVE 视频
Lab data reset. Undo last Lab change is in the menu. Restart TikTok to apply this.	实验室数据已重置。可在菜单中使用“撤销上次实验室更改”。重启 TikTok 后生效.
Lab data was over its rule limit, so it was cleared without an undo copy. Restart TikTok to apply this.	实验室数据超过规则上限，因此已清除且未保留可撤销副本。重启 TikTok 后生效.
Lab overrides reset. Undo last Lab change is in the menu. Restart TikTok to apply this.	实验室覆盖值已重置。可在菜单中使用“撤销上次实验室更改”。重启 TikTok 后生效.
Lab settings put back. Restart TikTok to apply this.	实验室设置已恢复。重启 TikTok 后生效.
Larger (1.25x)	较大（1.25x）
Last change put back. Restart TikTok to apply all changes.	上次更改已恢复。重启 TikTok 以应用全部更改.
Last change put back. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.	上次更改已恢复。功能开关实验室规则属于另一个 TikTok 版本，因此未恢复。重启 TikTok 以应用全部更改.
Last original value	上次原始值
Last recording: %1$d gates.	上次记录：%1$d 个功能开关.
Last recording: 1 gate.	上次记录：1 个功能开关.
Layout	布局
Layout, player, search and system	布局、播放器、搜索与系统
Leave maximum empty to keep it unlimited.	最大值留空表示不限制.
Leave the sound out of the saved video. Save the sound as well still writes the .m4a beside it if you want both.	保存视频时不包含声音。如果同时启用“也保存声音”，仍会在旁边另存一个 .m4a 文件.
Leave when TikTok says time is up	TikTok 提示时间已到时退出
Length and views per like	时长与每赞播放量
Less than a minute left	剩余不到一分钟
Let screenshots, screen recording and Circle to Search work on TikTok again. Restart TikTok to apply this.	重新允许在 TikTok 中使用截图、录屏和“圈选搜索”。重启 TikTok 后生效.
Let the Offline videos menu use your own limit instead of TikTok's fixed one. Restart TikTok to apply this.	让“离线视频”菜单使用你自定义的上限，而不是 TikTok 的固定限制。重启 TikTok 后生效.
Licenses	许可证
Like	点赞
Likes range	点赞数范围
Limits	限制
Link copied	链接已复制
Links	链接
Links in comments open	可打开评论中的链接
Live photo clip saved to %1$s	实况照片视频片段已保存到 %1$s
Loaded current values. Loading all known gates...	已加载当前值。正在加载所有已知功能开关...
Loaded values are still being read. Try again in a moment.	仍在读取已加载的值。请稍后重试.
Loaded-value file export failed	导出已加载值文件失败
Loading gates...	正在加载功能开关...
Loading local catalog and current TikTok cache...	正在加载本地目录和当前 TikTok 缓存...
Location-tagged videos	带地点标签的视频
Lock the hold speed with a pull down	下拉锁定长按倍速
Lock today's budget	锁定今日限额
Log diagnostics	记录诊断日志
Logging, hook status and reports	日志、Hook 状态与报告
Long press	长按
Lowest	最低
Make TikTok yours.	让 TikTok 更合你的心意.
Manager	管理器
Marked as not interested	已标记为不感兴趣
Match locale and timezone to country	让区域设置和时区匹配国家/地区
Maximum	最大值
Maximum post age	最大发布天数
Maximum video length	最大视频时长
Maximum views per comment	每条评论对应的最大播放量
Maximum views per like	每个赞对应的最大播放量
Media	媒体
Media config (VE)	媒体配置（VE）
Messages, profiles and search still work.	消息、个人资料和搜索仍可使用.
Microphone in use	正在使用麦克风
Mini dramas	短剧
Minimum	最小值
More options	更多选项
Move down	下移
Move left	左移
Move right	右移
Move to the next video when the current one ends. Pauses, open dialogs and screen-time holds stop it. Restart TikTok after changing this.	当前视频结束时自动切换到下一个。暂停、打开的对话框以及屏幕时间暂停会阻止自动切换。更改后请重启 TikTok.
Move up	上移
Music disc	音乐唱片
Nearby	附近
Never from these countries	始终隐藏这些国家/地区
No	否
No app on this phone opens that file	本机没有应用可以打开该文件
No creator to block on this video	此视频没有可拉黑的创作者
No creator to hide on this video	此视频没有可隐藏的创作者
No creators are hidden yet. Hide one from a video, or add a handle above.	还没有隐藏任何创作者。可从视频中隐藏，或在上方添加用户名.
No current value	没有当前值
No current value and no active override	没有当前值，也没有启用中的覆盖值
No delay	无延迟
No gate data is available. Refresh values from the menu to try again.	没有可用的功能开关数据。请从菜单刷新数值后重试.
No gate reads were recorded. Use a TikTok feature while recording.	未记录到功能开关读取。请在记录期间使用某个 TikTok 功能.
No gates match this filter.	没有功能开关符合此筛选条件.
No gates match this search and filter.	没有功能开关符合当前搜索和筛选条件.
No hidden creators match this search. Clear the search to see them all.	没有隐藏的创作者符合当前搜索。清除搜索即可查看全部.
No limit	无限制
No matching comments. Try a different word, or clear the search with the X in the box.	没有匹配的评论。请尝试其他关键词，或点按搜索框中的 X 清除搜索.
No matching countries. Try a country name or a two-letter code.	没有匹配的国家/地区。请尝试输入名称或两位代码.
No matching diagnostics found	没有找到匹配的诊断信息
No matching settings	没有匹配的设置
No preset selected. Choose a preset above.	尚未选择预设。请在上方选择一个预设.
No recording yet. Start one, use a feature, then return here.	还没有记录。请开始记录、使用某项功能，然后返回此处.
No seen videos recorded yet.	尚未记录已看视频.
No share actions have been seen yet	尚未检测到分享操作
No share actions match this search	没有分享操作符合当前搜索
No sound to block on this video	此视频没有可屏蔽的声音
No suggested accounts to clear	没有可清除的推荐账号
No video selected. Open a video first.	未选择视频。请先打开一个视频.
None of the photos could be saved. Try again.	所有图片都保存失败。请重试.
None of these gates had an override to reset.	这些功能开关都没有可重置的覆盖值.
None of these gates takes a true or false value.	这些功能开关都不是布尔值.
None recorded	无记录
Normal	正常
Not a handle or id, so ignored: %1$s	不是有效的用户名或 ID，已忽略：%1$s
Not blocked	未屏蔽
Not interested in this video	对这个视频不感兴趣
Not read yet	尚未读取
Not requested in this process yet	当前进程中尚未请求
Not saved yet	尚未保存
Not seen	未看过
Not seen yet	尚未出现
Nothing has been checked yet, so there is nothing to report.	尚未进行任何检查，因此没有可报告的内容.
Nothing has been looked up yet. Use the app for a moment, then come back.	尚未查询任何内容。请先使用应用一会儿，然后再回来.
Nothing hidden.	没有隐藏任何内容.
Nothing is playing to seek	当前没有可跳转的视频
Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected.	没有导入新内容。%1$d 项已匹配，%2$d 项不可用，%3$d 项被拒绝.
Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected. First rejection: %4$s	没有导入新内容。%1$d 项已匹配，%2$d 项不可用，%3$d 项被拒绝。首次拒绝：%4$s
Nothing on this page changes what TikTok does until they are on.	此页面中的设置只有开启后才会改变 TikTok 的行为.
Nothing to undo yet.	目前没有可撤销的操作.
Notices from this project and the ones it is built on	本项目及其上游项目的声明
OK	确定
Off	关闭
Off forces false, on forces true. Reset hands the choice back to TikTok.	关闭会强制返回 false，开启会强制返回 true。重置后由 TikTok 自行决定.
Offline videos	离线视频
Offline videos limit	离线视频数量上限
Older overrides were kept disabled. Review their values before enabling them on TikTok %1$s.	旧版覆盖值仍保持禁用。请检查其数值后，再在 TikTok %1$s 上启用.
On	开启
On mobile data	使用移动数据时
On. Restore puts back the feed setup you had before.	已开启。“恢复”会还原之前的信息流设置.
Once today's budget runs out, the hold stays and cannot be dismissed. The budget settings are locked until the day starts over. Turn this off any time before the budget runs out.	今日限额用尽后，暂停状态将持续且无法关闭；限额设置也会锁定，直到新的一天开始。你可以在限额用尽前随时关闭此选项.
One area was checked and everything it needs is here.	已检查 1 个区域，所需内容均已就绪.
One minute left	剩余 1 分钟
One of the quote marks in that list has nothing to close it, so the rest of the line reads as one phrase. Add the missing quote or take the stray one out.	该列表中有一个引号没有配对，因此该行剩余内容会被视为同一个短语。请补上缺失的引号，或删除多余的引号.
One value per line	每行一个值
Only bottom tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	这里只显示 TikTok 已在本设备加载的底部标签，不会强制显示不可用标签.
Only fields the Lab can check and copy safely are shown.	这里只显示实验室能够安全检查和复制的字段.
Only from these countries	仅显示这些国家/地区
Only tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	这里只显示 TikTok 已在本设备加载的标签，不会强制显示不可用标签.
Open	打开
Open a share sheet once, then return here to choose its actions.	请先打开一次分享面板，然后返回此处选择其中的操作.
Open comments	打开评论
Open external links directly	直接打开外部链接
Open messages	打开消息
Open profile and story website links in your system browser instead of TikTok's in-app browser.	使用系统浏览器打开个人资料和故事中的网页链接，而不是 TikTok 内置浏览器.
Open the feed anyway	仍然打开信息流
Open the feed anyway, %1$d left today	仍然打开信息流，今天还可用 %1$d 次
Open the feed anyway, the last time today	仍然打开信息流，这是今天最后一次
Open the feed once so Hushfeed can see which bottom tabs TikTok loaded.	请先打开一次信息流，以便 Hushfeed 识别 TikTok 已加载的底部标签.
Open the feed once so Hushfeed can see which tabs TikTok loaded.	请先打开一次信息流，以便 Hushfeed 识别 TikTok 已加载的信息流标签.
Open the profile again and try once more	请重新打开个人资料页后再试一次
Open the story again and try once more	请重新打开故事后再试一次
Opens github.com in your browser	在浏览器中打开 github.com
Operator code	运营商代码
Operator name	运营商名称
Original language	原始语言
Other	其他
Other feed filters	其他信息流筛选
Overridden	已覆盖
Override	覆盖
Override SIM details	覆盖 SIM 信息
Override set, not read yet	已设置覆盖值，尚未读取
Override store region (experimental)	覆盖商店地区（实验性）
Override this configuration	覆盖此配置
Override this gate	覆盖此功能开关
Overrides are disabled in the Feature Gate Lab.	功能开关实验室中的覆盖功能已禁用.
Overrides disabled. Restart TikTok to apply this.	覆盖功能已禁用。重启 TikTok 后生效.
Overrides enabled. Restart TikTok to apply this.	覆盖功能已启用。重启 TikTok 后生效.
Paid partnerships	付费合作
Pause Hushfeed	暂停 Hushfeed
